name,area_name,salary_from,salary_to,salary_currency,published_at,employer_name,requirement,schedule_id,working_hours_id,work_schedule_by_days,professional_roles,experience_name,employment_id
"Инженер слаботочных систем безопасности, пожарной сигнализации",Алматы,,,,2024-12-15T12:56:45+0300,HINetCom,"Умение и опыт комплексной настройки на аппаратном и программном уровнях: Умение производить базовые настройки маршрутизаторов, Wi-fi точек доступа, радиомостов...",fullDay,HOURS_8,5/2,Инженер ПНР,От 3 до 6 лет,full
DevOps Engineer,Алматы,,,,2024-11-29T11:05:09+0300,Ракетная фирма,Требования к навыкам и опыту: - Уверенные навыки Shell-скриптинга (Bash). - Веб-серверы и балансировщики нагрузки (Apache \ nginx \ haproxy). - ,fullDay,HOURS_8,5/2,DevOps-инженер,От 3 до 6 лет,full
Middle/Senior AI Security инженер,Алматы,,,,2024-12-05T08:39:43+0300,"Beeline, ТМ",Разработка и внедрение <highlighttext>безопасных</highlighttext> AI систем: Принципы <highlighttext>secure</highlighttext> by design для AI систем. Опыт разработки и внедрения <highlighttext>безопасных</highlighttext> цифровых продуктов...,fullDay,HOURS_8,5/2,Специалист по информационной безопасности,От 1 года до 3 лет,full
Ведущий инженер Отдела эксплуатации сети ПД Фикс,Алматы,,,,2024-12-06T11:48:15+0300,"Beeline, ТМ","Знание правил ТБ и противопожарной <highlighttext>безопасности</highlighttext>. Приветствуется знание ОС Linux. Знание и навыки в IT MS Office, MS Visio. ",fullDay,HOURS_8,5/2,Инженер по эксплуатации,От 3 до 6 лет,full
DevOps Engineer,Астана,,,,2024-11-20T13:12:17+0300,Новео,"Рабочие языки на проектах: английский, русский, французский. Уровень английского языка достаточный для общения с заказчиком на технические темы. ",remote,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
"Senior Backend Software Engineer (Lua, GO, Node.js)",Астана,,,,2024-11-26T17:55:48+0300,IDT Technologies,At least 3 years of experience with any backed framework. At least a year of MongoDB/Redis experience. ,remote,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
Инженер направления IDM (Pre-Sale инженер),Алматы,,,,2024-12-15T12:51:33+0300,SUCCESS INITIATIVE GROUP(SIG),"Свободное владение английским языком, проведение презентации компании продуктов для англоговорящим клиентам. Коммуникативные навыки, наши <highlighttext>инженеры</highlighttext> участвуют в интеграции продуктов нашим...",fullDay,HOURS_8,5/2,Специалист по информационной безопасности,От 1 года до 3 лет,full
Middle/Senior AppSec инженер в IT компанию QazCode,Алматы,,,,2024-11-21T16:07:44+0300,"Beeline, ТМ","...принципов работы и тестирования веб-приложений. Опыт работы с приложениями для модификации трафика (Burp Suite), опыт автоматизации процессов тестирования <highlighttext>безопасности</highlighttext>.",fullDay,HOURS_8,5/2,DevOps-инженер,От 1 года до 3 лет,full
Sales Engineer (security surveillance),Алматы,,,,2024-12-04T17:23:27+0300,Axis Communications,...or <highlighttext>engineering</highlighttext> will be preferred. Minimum of 5 years on a technical position in the IT or physical <highlighttext>security</highlighttext> market. ,fullDay,HOURS_8,5/2,Системный инженер,Более 6 лет,full
System Integration Engineer,Алматы,,,,2024-11-18T08:53:47+0300,Неткрэкер Текнолоджи Казахстан,"APIs and Web Services: Expert understanding of RESTful and SOAP APIs, and experience with web services. <highlighttext>Security</highlighttext>: Understanding of encryption...",fullDay,HOURS_8,5/2,Системный инженер,От 3 до 6 лет,full
Senior C++ Software Engineer (Build System),Астана,,,,2024-12-15T20:02:51+0300,Playrix,Опыт разработки коммерческих проектов на С++ не менее пяти лет (опыт в gamedev необязателен). Опыт с кроссплатформенной разработкой под iOS...,remote,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Инженер-механик,Алматы,250000.0,350000.0,KZT,2024-12-08T11:23:40+0300,АЛМАТЫЭНЕРГОСЕРВИС,"Высшее техническое образование (машиностроение), опыт работы не менее 6 лет.",fullDay,HOURS_8,5/2,"Слесарь, сантехник",Более 6 лет,full
Middle/Senior Application Security инженер,Алматы,,,,2024-12-05T08:40:07+0300,"Beeline, ТМ","Опыт участия в формировании процессов <highlighttext>безопасной</highlighttext> разработки. Опыт работы с системами статического и динамического анализа (SAST, DAST). Умение выявлять архитектурные...",fullDay,HOURS_8,5/2,Специалист по информационной безопасности,От 3 до 6 лет,full
Senior Network Engineer,Алматы,,,,2024-12-17T09:02:07+0300,Неткрэкер Текнолоджи Казахстан,Bachelor's degree in <highlighttext>Engineering</highlighttext> or related field required. CCNA/CCNP/JNCIA/JNCIP R&S holder or equivalent level of...,fullDay,HOURS_8,5/2,Сетевой инженер,От 3 до 6 лет,full
Middle C++ Software Engineer (Gameplay),Астана,,,,2024-12-10T21:25:28+0300,Playrix,Опыт коммерческого программирования на С++ от двух лет. Опыт клиентской продуктовой разработки. Опыт игровой разработки. Опыт работы с популярными игровыми...,fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Senior Frontend Developer (React Native),Алматы,,,,2024-12-04T11:12:03+0300,Andersen,Must-haves: - Experience in React Native framework for 7+ years. - Experience with creating mobile application with React Native Framework...,fullDay,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
Dynamics 365 Field Service Technical Support (Developer),Астана,,,,2024-11-22T14:03:49+0300,Itransition,"Degree in Computer Science, Software <highlighttext>Engineering</highlighttext>, or equivalent. Strong technical background with 5+ years of software development experience. ",flexible,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Инженер механик по дизельным генераторам,Атырау,300000.0,,KZT,2024-12-15T14:52:26+0300,ТЕХНОСЕРВИС ГРУП,"Высшее техническое образование. Опыт работы в обслуживание ДГУ, СКС не менее 3 лет. Сертификаты по обслуживанию ДГУ, СКС приветствуются.",fullDay,HOURS_12,Другое,"Сервисный инженер, инженер-механик",От 3 до 6 лет,full
Senior C++/Python Software Engineer (Engine),Астана,,,,2024-12-05T14:26:42+0300,Playrix,Опыт разработки коммерческих проектов на С++ и/или Python не менее четырех лет (опыт в gamedev необязателен). Опыт проектирования архитектуры. ,fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Senior Network Security Engineer,Алматы,,,,2024-12-17T09:06:46+0300,Неткрэкер Текнолоджи Казахстан,Bachelor's degree in <highlighttext>Engineering</highlighttext> or related field. CCNP-<highlighttext>Security</highlighttext> holder or equivalent level of knowledge. CCIE-<highlighttext>Security</highlighttext> holder desired.,fullDay,HOURS_8,5/2,Специалист по информационной безопасности,От 3 до 6 лет,full
"Principal Software Engineer Full Stack C#, JavaScript – AP Essentials project (to Montenegro)",Астана,,,,2024-12-16T18:59:21+0300,Tungsten Montenegro DOO Podgorica,"Must be full-stack developer and understand concepts of software <highlighttext>engineering</highlighttext>. Experience writing code in C#, JavaScript, TypeScript, HTML and...",fullDay,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
