name,area_name,salary_from,salary_to,salary_currency,published_at,employer_name,requirement,schedule_id,working_hours_id,work_schedule_by_days,professional_roles,experience_name,employment_id
DevOps-инженер (Senior),Астана,,,,2024-11-27T11:30:22+0300,Movavi,Опыт работы на схожей позиции от пяти лет. Уверенная работа с Git. Знание и опыт построения CI/CD Jenkins или...,remote,HOURS_8,5/2,DevOps-инженер,От 3 до 6 лет,full
Fullstack разработчик,Астана,,,,2024-12-07T14:00:02+0300,DOCUMENTOLOG CREATIVE STUDIO,"Будет плюсом: Опыт работы с микросервисной архитектурой и контейнеризированными приложениями. Знания в области <highlighttext>DevOps</highlighttext>, Kubernetes, Nginx. Навыки работы с GraphQL...",fullDay,HOURS_8,5/2,Другое,От 3 до 6 лет,full
DevOps инженер,Алматы,,,,2024-11-28T08:42:11+0300,"Beeline, ТМ","Опыт работы в области <highlighttext>DevOps</highlighttext> не менее 3 лет. Знание контейнеризации и оркестрации Docker, Kubernetes. Опыт в обслуживании и настройке...",remote,HOURS_8,5/2,DevOps-инженер,От 3 до 6 лет,full
Team Lead .NET developer (С#),Астана,1200000.0,1500000.0,KZT,2024-12-09T13:28:54+0300,Inter Solutions,"Готовность взаимодействовать с другими отделами. <highlighttext>DevOPS</highlighttext>, сетевой, ИБ и др. Знакомство с Java. Опыт разработки и проектирования систем с микросервисной...",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
DevOps Middle Engineer,Астана,,,,2024-11-26T16:38:25+0300,Itransition,"2 + years of experience as a <highlighttext>DevOps</highlighttext>/Infrastructure Engineer. Expertise in Java, Python, Ruby, Bash or experience in another...",flexible,HOURS_8,5/2,DevOps-инженер,От 1 года до 3 лет,full
Главный архитектор Java,Алматы,,,,2024-12-02T11:43:38+0300,Мук-Компьютерс,"...сообщений (Kafka, RabbitMQ). Знание баз данных (SQL и NoSQL) и технологий кэширования (Redis, Memcached). Понимание принципов <highlighttext>DevOps</highlighttext> и практик автоматизации.",fullDay,HOURS_8,5/2,Архитектор,От 3 до 6 лет,full
Team Lead Frontend (Angular) in Uzbekistan,Алматы,,,,2024-12-06T17:27:42+0300,PAYME,"Опыт на аналогичной позиции в роли Team Lead от 2х лет. Опыт работы с Angular, TypeScript, RESTful API. ",fullDay,HOURS_8,5/2,Другое,От 3 до 6 лет,full
DevOps Engineer,Алматы,,,,2024-11-29T11:05:09+0300,Ракетная фирма,Требования к навыкам и опыту: - Уверенные навыки Shell-скриптинга (Bash). - Веб-серверы и балансировщики нагрузки (Apache \ nginx \ haproxy). - ,fullDay,HOURS_8,5/2,DevOps-инженер,От 3 до 6 лет,full
Scala developer,Алматы,6000.0,7200.0,USD,2024-12-17T13:29:28+0300,COMTEK Inc.,"Skills: - 5+ years of commercial development in Java: Microservices, Springboot. - 2+ years of commercial development in Scala (Akka...",remote,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
Java Backend Team Lead,Алматы,,,,2024-11-28T09:42:27+0300,"Beeline, ТМ","Навык анализа кода и командной разработки (Confluence, Jira). Знание методологий разработки ПО (Agile, <highlighttext>DevOps</highlighttext> и т.п.). Опыт работы с...",fullDay,HOURS_8,5/2,Руководитель группы разработки,Более 6 лет,full
